Training Name/Program Name,Program Type,Offering Type,Start Date  ,End Date,Learning Hours,"Registration
Count (Enrolled)","Waitlist
Count",No. of Attendees (Completed),Attendance %,No-show,No-show %,"Learner
Perception (CSAT %)","Learner
Activity","Avg. Trainer
Feedback",Count of Feedback,Response %,Trainer Name,Trainer Feedback%
Coding in Core (CinC) - APAC/EMEA,Onboarding,Onboarding,26-Jan-2026,30-Jan-2026,15:00:00,67,0,49,73%,18,27%,NA,NA,NA,NA,NA,Megha Sood,100%
Engineering@Salesforce,Onboarding,Onboarding,21-Jan-2026,21-Jan-2026,3:45:00,79,0,74,94%,5,6%,92,NA,NA,45,61%,Jon Doe,95%
Implementing RAG for NLP,Tech,Calendar Offering,6-Jan-2026,9-Jan-2026,16:00:00,33,0,25,76%,8,24%,86,100%,8.2,5,20%,Jane Doe,90%
Multimodal AI for Conversational Agents,Tech,Calendar Offering,19-Jan-2026,22-Jan-2026,16:00:00,33,0,30,91%,3,9%,94,100%,9.4,8,27%,Frank K,85%
Prompt Engineering for Software Developers,Tech,Calendar Offering,6-Jan-2026,9-Jan-2026,16:00:00,38,0,35,92%,3,8%,86,100%,8.7,10,29%,Danny B,80%
The Next Era of OneJDK & AI,Tech,Ed Talk,6-Jan-2026,6-Jan-2026,1:30:00,NA,NA,165,NA,NA,NA,96,100%,NA,17,10%,Ashwin ,75%
Welcome to T&P - BLR,Onboarding,Onboarding,20-Jan-2026,20-Jan-2026,7:45:00,55,0,52,95%,3,5%,90,NA,NA,31,60%,Supriya,70%
Welcome to T&P - HYD,Onboarding,Onboarding,20-Jan-2026,20-Jan-2026,7:30:00,55,0,49,89%,6,11%,91,NA,NA,51,104%,VIkas,65%
